C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:37:43

sptypes = 'K'
-------------

Number of objects : 6163

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
161 |Cl Trumpler 37 523                 |*  |21 45 45.1919335664 +57 36 49.827851180|     ~|12.65 |10.87 |     ~|     ~|K              |   1|   0
162 |Cl Trumpler 37 770                 |*  |21 45 29.8541307525 +57 46 51.005762930|     ~|12.92 |11.11 |     ~|     ~|K              |   1|   0
163 |Cl Trumpler 37 1084                |*  |21 48 32.6553972035 +58 43 02.434687437|     ~|12.56 |11.26 |     ~|     ~|K              |   1|   0
164 |USNO-A2.0 1500-09102700            |*  |22 29 29.3569726477 +61 04 52.255546715|     ~|13.9  |     ~|     ~|     ~|K              |   1|   0
165 |USNO-A2.0 1500-09118979            |*  |22 30 49.4455166878 +61 30 52.032460286|     ~|13.9  |     ~|     ~|     ~|K              |   1|   0
166 |2MASS J22300141+6110594            |*  |22 30 01.4176335048 +61 10 59.357274693|     ~|     ~|     ~|     ~|     ~|K              |   1|   0
167 |BD+61 2334                         |*  |22 42 56.4201440158 +62 40 11.643245494|     ~|11.86 |10.31 |     ~|     ~|K              |   0|   0
168 |2MASS J22530352+6237081            |Y*O|22 53 03.5353787339 +62 37 08.114877071|18.927|     ~|15.96 |     ~|14.13 |K              |   3|   0
169 |2MASS J22521105+6229464            |TT*|22 52 11.06 +62 29 46.5                |     ~|     ~|15.676|     ~|     ~|K              |   1|   0
170 |2MASS J22525012+6227336            |TT*|22 52 50.1201196320 +62 27 33.589569210|18.740|     ~|15.54 |     ~|13.59 |K              |   4|   0
171 |[PNJ2003] 69                       |*  |22 50 58.8165972269 +62 36 50.477088666|     ~|     ~|15.553|     ~|     ~|K              |   1|   0
172 |BD+61 2393                         |*  |23 07 11.4179713513 +62 35 42.409096596|     ~|11.09 | 9.42 |     ~|     ~|K              |   0|   0
173 |[NF99] 13                          |*  |22 55 27.0 +62 43 32                   |     ~|     ~|15.3  |     ~|     ~|K              |   1|   0
174 |[NF99] 20                          |TT*|22 56 01.1 +62 47 54                   |     ~|     ~|17.94 |     ~|     ~|K              |   2|   0
