C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.21CET20:36:27

sptypes = 'G'
-------------

Number of objects : 3851

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
154 |BD+61 2522                         |PM*|23 46 44.9393486484 +62 35 44.239198251|     ~|10.49 | 9.96 |     ~|     ~|G              |   2|   0
155 |HD 2468                            |PM*|00 29 08.1649412507 +63 30 35.612226109|     ~|     ~|     ~| 8.9  |     ~|G              |   4|   0
156 |BD+60 330                          |Em*|01 45 57.4250836270 +61 16 52.774023505|     ~|10.77 |10.21 |     ~|     ~|G              |  15|   0
157 |Cl* Melotte 20 AP 420              |*  |03 26 02.0440645103 +50 05 34.625774055|     ~|     ~|     ~|18.035|16.446|G              |   1|   0
158 |Cl Melotte 20 1036                 |*  |03 33 27.9964307102 +49 11 57.658940192|     ~|12.35 |11.41 |     ~|     ~|G              |   7|   0
159 |HD 25974                           |*  |04 08 42.0 +43 36 00                   |     ~| 9.3  | 9.6  |     ~|     ~|G              |   1|   0
160 |TYC 3143-879-1                     |*  |19 34 50.8737348569 +42 42 08.973118404|     ~|11.75 |10.30 |     ~|     ~|G              |   0|   0
161 |BD+44 3193a                        |*  |19 37 41.8367037622 +44 46 49.090096898|     ~|11.84 |10.82 |     ~|     ~|G              |   1|   0
162 |CCDM J21009+5929AB                 |** |21 00 54.5266 +59 29 06.908            |     ~|10.42 | 9.94 |     ~|     ~|G              |   4|   0
163 |Cl Trumpler 37 6                   |*  |21 03 10.2193813855 +56 58 38.442594278|     ~|11.76 |10.59 |     ~|     ~|G              |   1|   0
164 |Cl Trumpler 37 282                 |*  |21 10 00.9336446028 +57 25 03.014817618|     ~|12.02 |11.85 |     ~|     ~|G              |   1|   0
165 |Cl Trumpler 37 285                 |*  |21 10 05.7362234113 +57 24 15.928745487|     ~|12.81 |11.60 |     ~|     ~|G              |   1|   0
166 |Cl Trumpler 37 839                 |*  |21 08 00.2175193480 +58 34 12.438343616|     ~|12.31 |11.81 |     ~|     ~|G              |   1|   0
167 |Cl Trumpler 37 280                 |*  |21 09 40.7236515563 +57 31 01.822796272|     ~|12.61 |11.06 |     ~|     ~|G              |   1|   0
168 |Cl Trumpler 37 827                 |*  |21 06 18.1313029946 +58 40 01.385571399|     ~|12.07 |10.97 |     ~|     ~|G              |   1|   0
169 |Cl Trumpler 37 1116                |*  |21 05 25.7372002250 +58 59 15.789791782|     ~|12.51 |11.07 |     ~|     ~|G              |   1|   0
170 |Cl Trumpler 37 544                 |*  |21 01 17.5436665660 +57 54 38.576932442|     ~|12.36 |11.88 |     ~|     ~|G              |   1|   0
171 |Cl Trumpler 37 1091                |*  |21 01 22.5128375505 +59 03 17.240050960|     ~|12.8  |     ~|     ~|     ~|G              |   1|   0
172 |Cl Trumpler 37 1115                |*  |21 05 16.9603354066 +58 49 23.367257288|     ~|12.66 |11.66 |     ~|     ~|G              |   1|   0
173 |Cl Trumpler 37 603                 |*  |21 14 08.3166795294 +57 54 38.891020369|     ~|13.1  |     ~|     ~|     ~|G              |   1|   0
174 |Cl Trumpler 37 1438                |*  |21 15 45.7362 +59 26 19.093            |     ~|12.52 |11.27 |     ~|     ~|G+B            |   1|   0
175 |Cl Trumpler 37 1139                |*  |21 09 13.2312044740 +59 02 04.949260189|     ~|12.65 |11.86 |     ~|     ~|G              |   1|   0
176 |Cl Trumpler 37 1724                |*  |21 24 59.9713037047 +60 07 43.616400290|     ~|12.5  |     ~|     ~|     ~|G              |   1|   0
177 |Cl Trumpler 37 1706                |*  |21 23 21.6006811830 +59 57 02.472184787|     ~|12.23 |10.83 |     ~|     ~|G              |   1|   0
178 |Cl Trumpler 37 1631                |*  |21 10 04.6338364762 +60 06 11.713527822|     ~|13.06 |11.09 |     ~|     ~|G              |   1|   0
179 |Cl Trumpler 37 1720                |*  |21 24 34.3689342526 +60 04 20.988621282|     ~|12.37 |11.24 |     ~|     ~|G              |   1|   0
180 |Cl Trumpler 37 1488                |*  |21 26 24.6754946205 +59 17 35.528485300|     ~|12.9  |     ~|     ~|     ~|G              |   1|   0
181 |Cl Trumpler 37 1659                |*  |21 14 28.9818461365 +59 54 59.800833571|     ~|12.59 |11.66 |     ~|     ~|G              |   1|   0
182 |Cl Trumpler 37 1691                |*  |21 20 18.8181762720 +59 50 59.898372227|     ~|13.22 |11.84 |     ~|     ~|G              |   1|   0
183 |Cl Trumpler 37 1725                |*  |21 25 02.7163454835 +60 01 45.306204797|     ~|12.9  |     ~|     ~|     ~|G              |   1|   0
184 |Cl Trumpler 37 895                 |*  |21 15 32.1583154571 +58 13 47.966496683|     ~|12.22 |11.24 |     ~|     ~|G              |   1|   0
185 |Cl Trumpler 37 1162                |*  |21 12 57.8873840963 +59 00 05.895786821|     ~|13.0  |     ~|     ~|     ~|G              |   1|   0
186 |Cl Trumpler 37 1478                |*  |21 24 35.9286235587 +59 28 17.300610108|     ~|13.11 |11.74 |     ~|     ~|G              |   1|   0
187 |Cl Trumpler 37 1723                |*  |21 24 49.8032848577 +60 04 22.445220344|     ~|12.67 |11.35 |     ~|     ~|G              |   1|   0
188 |Cl Trumpler 37 928                 |*  |21 19 07.2391390216 +58 18 35.937019164|     ~|13.1  |     ~|     ~|     ~|G              |   1|   0
