C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
76   |BD+45 3688                         |*  |21 49 21.4232714577 +46 25 18.392043880|     ~|10.03 | 9.88 |     ~|     ~|A              |   0|   0
77   |BD+46 3545                         |*  |22 02 20.7907713617 +47 35 39.380299181|     ~|11.42 |10.17 |     ~|     ~|A              |   0|   0
78   |NGC 7243 487                       |*  |22 15 05.4502266359 +49 51 25.970173745|     ~|11.38 |11.25 |     ~|     ~|Am             |  14|   0
79   |ADS 15951 P                        |*  |22 26 57.6179287654 +49 42 43.871057319|     ~| 8.2  |14.4  |     ~|     ~|A              |   0|   0
80   |[R57] 351                          |*  |22 26 12.1283458388 +50 50 25.535496912|     ~|     ~|12    |     ~|     ~|A              |   1|   0
81   |HD 214444                          |*  |22 37 16.0673505170 +51 00 55.611617130|     ~| 8.71 | 8.73 |     ~|     ~|A              |   8|   0
82   |HD 217439                          |*  |23 00 00.6558196629 +52 23 24.420032385|     ~| 9.01 | 8.89 |     ~|     ~|A              |   3|   0
83   |HD 218094                          |*  |23 04 36.1144349388 +52 26 37.268041926| 8.930| 8.970| 8.860|     ~|     ~|A              |   6|   0
84   |HD 218998                          |*  |23 11 57.2326457132 +51 42 19.599329623|     ~| 9.65 | 9.39 |     ~|     ~|A              |   3|   0
85   |HD 222770                          |*  |23 43 13.4915051110 +52 14 53.493227561|     ~| 7.924| 7.612|     ~|     ~|Am             |  15|   0
86   |BD+51 3678                         |*  |23 39 41.1686065905 +52 11 55.295388121|     ~|10.08 | 9.98 |     ~|     ~|Ap             |   4|   0
87   |TYC 3651-241-1                     |*  |23 50 57.4994545456 +51 24 28.842901127|     ~|10.37 |10.32 |     ~|     ~|A              |   1|   0
88   |HD 262                             |*  |00 07 32.6868974187 +52 39 31.824861272|     ~| 9.13 | 9.06 |     ~|     ~|A              |   4|   0
89   |HD 224814                          |*  |00 00 54.0880846955 +53 15 49.199423731|     ~| 9.27 | 9.20 |     ~|     ~|A              |   6|   0
90   |HD 224920                          |*  |00 01 45.8374726449 +52 46 20.290490354|     ~| 9.35 | 9.31 |     ~|     ~|A              |   2|   0
91   |BD+51 96                           |*  |00 33 25.0788686956 +52 21 01.283389204|     ~|10.14 |10.00 |     ~|     ~|ApSr           |   5|   0
92   |CCDM J01161+5004AB                 |** |01 16 02.2 +50 02 43                   |     ~| 8.6  | 8.9  |     ~|     ~|A              |   3|   0
93   |BD+49 418                          |*  |01 37 06.3335950506 +49 56 21.539673678|     ~|11.97 |10.75 |     ~|     ~|A              |   0|   0
94   |HD 9456                            |*  |01 33 57.4028585230 +49 41 34.163011298|     ~| 9.66 | 9.44 |     ~|     ~|A              |   1|   0
95   |HD 11826                           |** |01 57 20.9915068629 +48 11 56.364107958|     ~| 9.31 | 9.06 |     ~|     ~|A              |   8|   0
96   |HD 11031B                          |*  |01 49 15.465 +47 53 47.17              |     ~| 7.45 | 7.19 |     ~|     ~|Am             |   7|   0
97   |HD 13293                           |*  |02 11 10.7457125605 +46 12 46.023829541|     ~| 9.35 | 9.19 |     ~|     ~|A              |   2|   0
98   |V* V406 And                        |bL*|02 35 25.6070538250 +45 56 03.152491931|     ~| 9.29 | 9.19 |     ~|     ~|A              |  11|   0
99   |HD 16618                           |*  |02 41 08.2018767122 +43 25 58.927194327|     ~| 9.60 | 9.53 |     ~|     ~|A              |   4|   0
100  |HD 275045                          |*  |03 15 11.3689070769 +41 35 43.736696603|     ~|11.95 |11.60 |     ~|     ~|A              |   1|   0
101  |HD 275049                          |*  |03 15 20.9299109969 +41 31 10.669224905|     ~|11.88 |11.64 |     ~|     ~|A              |   1|   0
102  |HD 275188                          |*  |03 21 03.3264451141 +40 07 07.032417910|     ~|11.73 |11.90 |     ~|     ~|A              |   1|   0
103  |HD 275196                          |*  |03 20 02.6913685746 +39 46 53.774955407|     ~|11.90 |11.38 |     ~|     ~|A              |   1|   0
104  |HD 275383                          |*  |03 27 25.1472746578 +39 12 31.218844191|     ~|11.38 |10.78 |     ~|     ~|A              |   1|   0
105  |BD+40 4190                         |*  |20 28 49.5464734129 +40 38 56.382155943|     ~| 9.60 | 9.41 |     ~|     ~|Am             |   8|   0
106  |HD 229073                          |*  |20 21 25.5979685344 +39 48 34.528825057|     ~|10.307|10.17 |     ~|     ~|A              |   5|   0
107  |BD+39 4224                         |*  |20 32 06.4283376864 +40 03 04.031870381|     ~| 9.84 | 9.45 |     ~|     ~|Am             |   7|   0
108  |Cl* NGC 6910 SIC 14                |*  |20 21 05.0823350352 +40 42 20.782232837|     ~|     ~|     ~|     ~|     ~|A              |   1|   0
109  |NGC 6910 36                        |*  |20 23 02.5786477851 +40 46 28.823077358|     ~|13.79 |13.02 |     ~|     ~|A              |   8|   0
110  |HD 195746                          |*  |20 31 33.5648414705 +42 12 14.069374593|     ~| 8.53 | 8.56 |     ~|     ~|A              |  13|   0
111  |HD 196240                          |*  |20 34 33.0735102254 +41 59 47.850172977|     ~| 8.15 | 7.97 |     ~|     ~|Am             |  21|   0
112  |HD 197679                          |*  |20 43 49.2830007528 +41 50 32.260275078|     ~| 8.44 | 8.50 |     ~|     ~|A              |   9|   0
113  |HD 197559                          |*  |20 42 54.2455007680 +43 10 38.697310065|     ~| 8.41 | 8.45 |     ~|     ~|A              |  10|   1
114  |[SKV93] 2-89                       |*  |20 54 25.0 +43 12 48                   |     ~|     ~|12.73 |     ~|     ~|A              |   1|   0
115  |2MASS J20555536+4321593            |*  |20 55 55.3762715949 +43 21 59.106255380|     ~|     ~|     ~|     ~|     ~|A              |   2|   0
116  |BD+44 3607                         |*  |20 51 50.8917850720 +45 16 25.700394244|     ~| 9.36 | 9.21 |     ~|     ~|Am             |   8|   0
117  |HD 200509                          |*  |21 02 28.3554656133 +44 08 49.843294183|     ~| 8.98 | 9.01 |     ~|     ~|A              |   5|   0
118  |HD 201665                          |*  |21 09 31.2397318889 +46 48 45.714631564|     ~| 9.26 | 9.15 |     ~|     ~|Am             |   9|   0
119  |HD 203078                          |*  |21 18 27.0666433137 +46 42 51.789084603|     ~| 9.50 | 9.46 |     ~|     ~|A              |   3|   0
120  |HD 201870                          |*  |21 10 50.1489955349 +46 05 59.571244251|     ~| 8.84 | 8.52 |     ~|     ~|Am             |  20|   0
121  |HD 202584                          |*  |21 15 17.1699626301 +45 56 21.315155583|     ~| 9.21 | 9.09 |     ~|     ~|A              |   4|   0
