C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
9040 |CRTS J145113.1+093818              |RR*|14 51 13.220 +09 38 18.16              |     ~|     ~|18.92 |     ~|     ~|sdA            |   2|   0
9041 |CRTS J145620.6+160815              |RR*|14 56 20.6334224874 +16 08 16.131427736|     ~|     ~|19.33 |     ~|     ~|sdA            |   4|   0
9042 |CRTS J150848.1+010543              |RR*|15 08 48.1935349982 +01 05 42.912278539|     ~|     ~|18.99 |     ~|     ~|sdA            |   4|   0
9043 |CRTS J165919.0+494711              |RR*|16 59 19.0615573113 +49 47 11.409702695|     ~|     ~|18.95 |     ~|     ~|sdA            |   4|   0
9044 |CRTS J172034.2+243843              |EB*|17 20 34.2320676472 +24 38 43.716032300|     ~|     ~|19.11 |     ~|     ~|sdA            |   2|   0
9045 |SDSS J210553.32+073500.5           |RR*|21 05 53.3129483623 +07 35 00.545697153|     ~|     ~|18.06 |     ~|     ~|sdA            |   2|   0
9046 |CRTS J221839.4-032352              |RR*|22 18 39.4557856842 -03 23 52.952576499|     ~|     ~|19.15 |     ~|     ~|sdA            |   3|   0
9047 |CRTS J230511.7+113231              |RR*|23 05 11.8274158911 +11 32 31.285997850|     ~|     ~|19.20 |     ~|     ~|sdA            |   4|   0
9048 |CRTS J231403.0+300853              |RR*|23 14 03.0813187698 +30 08 53.531019515|     ~|     ~|18.13 |     ~|     ~|sdA            |   4|   0
9049 |CRTS J234021.6+143542              |RR*|23 40 21.6291538901 +14 35 41.766490372|     ~|     ~|18.27 |     ~|     ~|sdA            |   4|   0
9050 |[ZHV2014] 450                      |RR*|12 07 45.1799141296 +09 21 22.393162606|     ~|     ~|19.37 |     ~|     ~|sdA            |   6|   0
9051 |[ZHV2014] 505                      |RR*|12 17 50.0900153468 +05 38 01.476442854|     ~|     ~|19.49 |     ~|     ~|sdA            |   5|   0
9052 |[ZHV2014] 647                      |RR*|12 38 19.0408285570 +09 08 13.675107227|     ~|     ~|19.39 |     ~|     ~|sdA            |   5|   0
9053 |[ZHV2014] 648                      |RR*|12 38 20.7249429527 -02 50 44.674056676|     ~|     ~|19.95 |     ~|     ~|sdA            |   4|   0
9054 |SDSS J131034.19+004205.6           |RR*|13 10 34.1906746150 +00 42 05.647892636|     ~|     ~|19.53 |     ~|     ~|sdA            |   3|   0
9055 |SDSS J132113.10+005047.4           |RR*|13 21 13.0955664590 +00 50 47.502462954|     ~|     ~|19.29 |     ~|     ~|sdA            |   3|   0
9056 |[ZHV2014] 1084                     |RR*|13 31 20.6111207142 +02 24 52.925024002|     ~|     ~|19.49 |     ~|     ~|sdA            |   5|   0
9057 |[ZHV2014] 1222                     |RR*|13 46 06.8116929636 -03 17 43.386027346|     ~|     ~|19.27 |     ~|     ~|sdA            |   4|   0
9058 |EC 20443-2814                      |RR*|20 47 19.7088596244 -28 03 41.029423501|15.61 |15.40 |15.74 |     ~|     ~|A              |   5|   0
9059 |EC 20448-2727                      |RR*|20 47 49.9726198008 -27 16 44.887033595|15.63 |15.49 |14.83 |     ~|     ~|A              |   5|   0
9060 |[GH2013b] J140247.62+541728.90     |*  |14 02 47.6272410482 +54 17 28.836465775|     ~|20.30 |19.87 |     ~|     ~|A              |   1|   0
9061 |[S83] B65                          |*  |14 03 01.2082632758 +54 18 39.679301020|     ~|19.27 |18.96 |     ~|     ~|AIII           |   1|   0
9062 |EC 05029-1957                      |*  |05 05 06.2935599372 -19 53 02.655512877|12.70 |13.16 |13.28 |     ~|     ~|A              |   2|   0
9063 |EC 19556-7552                      |HB*|20 02 04.5 -75 44 13                   |15.66 |16.11 |16.13 |     ~|     ~|A              |   1|   0
9064 |EC 20024-5710                      |HB*|20 06 29.7224013148 -57 02 01.275565492|15.67 |16.16 |16.27 |     ~|     ~|A              |   2|   0
9065 |EC 20036-6224                      |HB*|20 07 59.3 -62 15 46                   |14.23 |14.41 |13.95 |     ~|     ~|A              |   1|   0
9066 |LB 1099                            |HB*|20 32 28.6599592652 -14 19 03.657860808|15.43 |15.70 |15.75 |     ~|     ~|A              |   2|   0
9067 |2MASS J19470707+4115229            |*  |19 47 07.0807824587 +41 15 22.817354865|     ~|     ~|     ~|     ~|     ~|Am             |   2|   0
9068 |2QZ J133540.8+014724               |*  |13 35 40.8195623692 +01 47 25.268291758|     ~|     ~|     ~|     ~|     ~|A/sdB          |   2|   0
9069 |2QZ J101109.9-022812               |RR*|10 11 10.0081919735 -02 28 11.947180935|     ~|     ~|     ~|     ~|     ~|sdA            |   4|   0
9070 |2QZ J101235.5-013529               |*  |10 12 35.580 -01 35 28.48              |     ~|     ~|     ~|     ~|     ~|sdA            |   2|   0
9071 |SDSS J074735.03+455420.0           |*  |07 47 35.0380819655 +45 54 19.970671837|     ~|     ~|     ~|     ~|     ~|sdA            |   2|   0
9072 |SDSS J080313.31+415740.4           |*  |08 03 13.3152375442 +41 57 40.517319771|     ~|     ~|     ~|     ~|     ~|sdA            |   2|   0
9073 |SDSS J100658.35+062907.6           |*  |10 06 58.357 +06 29 07.67              |     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9074 |SDSS J013916.77+191112.1           |*  |01 39 16.765 +19 11 12.08              |     ~|21.2  |     ~|     ~|     ~|sdA            |   2|   1
9075 |SDSS J093714.13+475204.7           |*  |09 37 14.1419917259 +47 52 04.729834481|     ~|     ~|     ~|     ~|     ~|sdA            |   3|   1
9076 |CD-28 143                          |HV*|00 30 01.5850455903 -27 47 14.815768655|     ~|12.43 |11.95 |11.67 |     ~|Apwl           |   4|   0
9077 |SDSS J104349.87-015456.6           |HS?|10 43 49.8816869999 -01 54 56.678417014|     ~|     ~|     ~|     ~|     ~|A/sdB          |   3|   0
9078 |SDSS J145352.92+100455.7           |*  |14 53 52.92 +10 04 55.7                |     ~|     ~|     ~|     ~|     ~|A/DAZ          |   1|   0
9079 |SDSS J151248.61+042205.5           |HS?|15 12 48.6134644714 +04 22 05.660136969|     ~|     ~|     ~|     ~|     ~|A/sdB          |   6|   0
9080 |SDSS J151940.51+014457.1           |*  |15 19 40.51488 +01 44 57.1668          |     ~|     ~|     ~|     ~|     ~|A/sdB          |   1|   0
9081 |SDSS J153024.81+045454.5           |HS?|15 30 24.8120781462 +04 54 54.600358892|     ~|     ~|     ~|     ~|     ~|A/sdB          |   4|   0
9082 |SDSS J155051.23+123509.2           |*  |15 50 51.23 +12 35 09.3                |     ~|     ~|     ~|     ~|     ~|A/sdB          |   1|   0
9083 |SDSS J162035.73+074712.0           |HS?|16 20 35.7294330568 +07 47 11.794554092|     ~|     ~|     ~|     ~|     ~|A/sdB          |   4|   0
9084 |SDSS J215657.18+205337.3           |*  |21 56 57.18 +20 53 37.3                |     ~|     ~|     ~|     ~|     ~|A/sdB          |   1|   0
9085 |SDSS J111138.71+084324.1           |*  |11 11 38.7296742401 +08 43 24.215846965|     ~|     ~|     ~|     ~|     ~|sdA            |   2|   0
9086 |SDSS J125933.31+073451.0           |*  |12 59 33.3165258829 +07 34 51.109541917|     ~|     ~|     ~|     ~|     ~|sdA            |   2|   0
9087 |HD 157644                          |a2*|17 26 06.2976663017 -37 36 35.187442578|     ~| 8.41 | 8.35 |     ~|     ~|ApSi           |  16|   0
9088 |HD 157486                          |*  |17 25 02.6671440070 -34 41 45.832671247|     ~| 6.170| 6.142|     ~|     ~|ApSiCr         |  25|   0
9089 |HD 322665                          |*  |17 05 17.3557527204 -37 54 30.677521323|     ~|11.0  |10.6  |     ~|     ~|A              |  10|   0
9090 |HD 319452                          |*  |17 10 52.1221989349 -35 26 47.453007791|     ~|11.15 |10.51 |     ~|     ~|A              |   1|   0
9091 |HD 319592                          |*  |17 17 34.1440285114 -33 56 45.342508026|     ~|11.6  |11.5  |     ~|     ~|A              |   2|   0
9092 |HD 141317                          |a2*|15 50 34.6108539531 -49 21 10.099825720|     ~| 9.02 | 8.92 |     ~|     ~|ApCrEu         |   9|   0
9093 |HD 330016                          |*  |15 51 57.9483929616 -48 10 33.836130174|     ~|11.33 |11.00 |     ~|     ~|A              |   1|   0
9094 |CD-50 9702                         |*  |15 40 36.0295602916 -50 57 16.875380200|     ~|11.63 |11.11 |     ~|     ~|A              |   0|   0
9095 |HD 328057                          |*  |16 20 17.5094 -45 00 25.665            |     ~|11.70 |11.57 |     ~|     ~|A              |   1|   0
9096 |HD 325461                          |*  |16 12 30.8522485259 -43 32 11.422218143|     ~|11.85 |11.55 |     ~|     ~|A              |   1|   0
9097 |HD 147516                          |*  |16 24 18.3053531606 -44 04 09.843278658|     ~|10.44 |10.09 |     ~|     ~|ApSi           |   5|   0
9098 |TYC 7857-257-1                     |*  |16 25 12.2348097899 -40 43 34.332955166|     ~|12.58 |12.37 |     ~|     ~|A              |   2|   0
9099 |HD 141981                          |a2*|15 53 39.4611367532 -42 50 32.159467908|     ~|10.05 | 9.82 |     ~|     ~|ApEuCrSr       |   7|   0
9100 |CD-40 9903                         |*  |15 46 03.7563959342 -41 10 23.626914880|     ~|11.02 |10.71 |     ~|     ~|A              |   0|   0
9101 |V* V1062 Sco                       |a2*|16 38 30.9410761468 -39 09 08.390526654|     ~| 6.92 | 6.95 |     ~|     ~|ApSi           |  44|   0
9102 |HD 311034                          |*  |12 04 56.7411858504 -63 59 20.745299569|     ~|11.24 |11.24 |     ~|     ~|A              |   2|   0
9103 |HD 112252                          |a2*|12 56 15.3545994658 -61 45 17.939351684|     ~| 8.74 | 8.41 |     ~|     ~|ApSi           |  24|   0
9104 |HD 110274                          |a2*|12 41 30.9534460000 -58 55 24.382536795|     ~| 9.75 | 9.47 |     ~|     ~|ApEuCr         |  22|   0
9105 |HD 113149                          |*  |13 02 22.5485477923 -55 44 41.348729286|     ~|10.23 |10.14 |     ~|     ~|ApCrEu         |   4|   0
9106 |HD 115789                          |a2*|13 20 37.1781223499 -58 38 55.855482891|     ~| 9.30 | 9.19 |     ~|     ~|ApSi           |  14|   0
9107 |HD 111405                          |*  |12 49 30.5602094019 -48 30 37.171141938|     ~|11.36 |10.63 |     ~|     ~|A              |   2|   0
9108 |CD-51 7932                         |*  |14 04 28.9099650900 -52 22 12.116040972|     ~|11.16 |10.91 |     ~|     ~|A              |   0|   0
9109 |HD 122463                          |a2*|14 03 14.7743817004 -48 29 30.042097850|     ~| 9.89 | 9.95 |     ~|     ~|ApSi           |   9|   0
9110 |HD 107107                          |*  |12 19 04.8757937327 -40 09 47.592978093|     ~| 8.92 | 8.73 |     ~|     ~|ApCrEuSr       |  11|   0
9111 |HD 131750                          |V* |14 56 20.7607217376 -30 52 37.940901279|     ~| 8.81 | 8.56 |     ~|     ~|ApSrCrEu       |  16|   0
9112 |V* CS Vir                          |a2*|14 18 38.2580290341 -18 42 57.482173097| 5.86 | 5.90 | 5.90 |     ~|     ~|ApSi(Cr)       | 302|   0
9113 |HD 126365                          |PM*|14 25 23.6382734030 -14 05 06.020134565|     ~| 8.84 | 8.44 |     ~|     ~|A(pSrCr)       |  20|   0
9114 |HD 138633                          |*  |15 33 34.0313386383 -11 03 54.806931985|     ~| 9.01 | 8.63 |     ~|     ~|ApSrEuCr       |  15|   0
9115 |V* BD Ind                          |a2*|21 56 56.7032076410 -61 50 46.256627503|     ~| 7.42 | 7.19 |     ~|     ~|ApSrEuCr       |  52|   0
9116 |V* AQ Ind                          |Al*|22 07 55.0571884043 -59 52 29.678349571|12.08 |11.53 |11.27 |     ~|     ~|A              |   6|   0
9117 |HD 170044                          |*  |18 30 29.6040625303 -53 38 53.180013620|     ~|10.99 |10.45 |     ~|     ~|A(pSr)         |   4|   0
9118 |V* CG Mic                          |a2*|20 29 02.3527499787 -43 14 57.529372220|     ~| 8.83 | 8.83 |     ~|     ~|A(pSiCr)       |   9|   0
9119 |CD-49 12241                        |EB*|18 37 00.2592617056 -48 55 28.426734249|     ~|10.45 |10.49 |     ~|     ~|A              |   2|   0
9120 |HD 169481                          |*  |18 26 59.5677060283 -44 28 32.934096277|     ~| 9.29 | 9.13 |     ~|     ~|ApCrEuSr       |   4|   0
9121 |HD 172626                          |*  |18 42 51.0819685548 -37 04 37.496930328|     ~| 9.94 | 9.64 |     ~|     ~|ApSrCrEu       |   5|   0
9122 |HD 177382                          |*  |19 05 35.9674850590 -28 08 52.325210655|     ~| 9.87 | 9.47 |     ~|     ~|ApEuCrSr       |   4|   0
9123 |HD 358157                          |*  |21 02 39.8998346970 -13 27 29.796163237|     ~|12.10 |11.40 |10.96 |10.526|A              |   7|   0
9124 |HD 198816B                         |PM*|20 53 07.8241185953 -06 50 42.199520015|     ~|11.26 |10.42 |     ~|     ~|A              |   1|   0
9125 |HD 91869B                          |*  |10 35 04.0849732906 -57 40 40.360089279|     ~|10.25 | 9.86 |     ~|     ~|A              |   1|   0
9126 |HD 12915B                          |PM*|02 05 07.5788960639 -49 40 47.736215244|     ~|     ~|     ~|     ~|     ~|A              |   0|   0
9127 |HD 289044                          |*  |06 43 16.7553769542 +01 07 14.448823811|     ~|11.69 |11.43 |11.48 |     ~|A              |   2|   0
9128 |V* V748 Cyg                        |Al*|20 41 45.9708209430 +50 41 37.335110899|     ~|12.31 |11.88 |     ~|     ~|A              |   7|   0
9129 |PB 8604                            |*  |01 13 05.5367360972 -11 53 28.336681540|     ~|12.46 |12.73 |     ~|     ~|A              |   4|   0
9130 |BD-18 4527                         |*  |17 26 41.9103895534 -18 15 27.083867825|     ~|10.87 |10.90 |     ~|     ~|A              |   2|   0
9131 |TYC 6246-105-1                     |*  |17 22 04.0645009913 -21 26 51.064196740|     ~|11.63 |10.99 |     ~|     ~|A              |   2|   0
9132 |CD-22 12093                        |Em*|17 33 21.1555659583 -22 51 15.194555695|     ~|11.61 |10.93 |     ~|     ~|A              |   7|   0
9133 |CD-28 13567                        |*  |17 46 31.3117853636 -28 44 47.886400858|     ~|12.12 |11.68 |     ~|     ~|A              |   1|   0
9134 |HD 314281                          |*  |18 16 52.0744234545 -23 13 55.189850687|     ~|11.69 |11.61 |     ~|     ~|A              |   2|   0
9135 |CPD-27 6167                        |*  |18 08 31.7112565324 -27 16 13.620628808|     ~|11.82 |11.43 |     ~|     ~|A              |   1|   0
9136 |CPD-28 6181                        |*  |18 02 41.0008009692 -28 27 12.747914654|     ~|11.77 |11.99 |     ~|     ~|A              |   1|   0
9137 |CPD-28 6141                        |*  |18 00 46.9217145430 -28 34 44.351402246|     ~|11.68 |11.50 |     ~|     ~|A              |   1|   0
9138 |HD 317008                          |*  |18 03 00.9872399364 -29 55 25.782953021|     ~|11.63 |11.16 |     ~|     ~|A              |   3|   0
9139 |TYC 6979-613-1                     |HB?|23 19 14.2937705204 -27 56 15.120685715|     ~|12.97 |12.85 |     ~|     ~|AV             |   2|   0
9140 |HD 319519                          |*  |17 13 59.5788820844 -34 47 15.550895689|     ~|11.65 |10.93 |     ~|     ~|A              |   1|   0
9141 |CPD-30 4963                        |V* |17 51 35.6497687814 -30 14 02.810598597|     ~|11.56 |11.14 |     ~|10.546|A              |   2|   0
9142 |HD 144692                          |*  |16 08 58.1904451593 -44 38 57.794273144|     ~|11.40 |11.28 |11.09 |     ~|A              |   2|   0
9143 |HD 144693                          |*  |16 08 58.8826130678 -44 39 11.678167464|     ~|11.35 |11.23 |11.13 |     ~|A              |   2|   0
9144 |TYC 8505-969-1                     |*  |04 09 25.3572380994 -55 44 26.585268567|     ~|11.91 |12.28 |     ~|     ~|A              |   2|   0
9145 |HD 302311                          |*  |09 33 59.0416230578 -58 36 28.169961003|     ~|11.13 |11.00 |     ~|     ~|A              |   2|   0
9146 |HD 299261                          |*  |10 38 49.7707734822 -54 11 24.196114058|     ~|10.57 |10.58 |     ~|     ~|A              |   3|   0
9147 |HD 299111                          |*  |10 24 44.4940478297 -54 49 01.628007112|12.14 |12.13 |11.71 |     ~|     ~|A              |   2|   0
9148 |HD 303078                          |*  |10 37 37.9555079785 -58 34 40.958095987|     ~|11.17 |10.90 |     ~|     ~|A              |   2|   0
9149 |V* CX Car                          |Al*|10 57 35.2245515746 -58 33 12.657287262|     ~|11.55 |11.47 |     ~|     ~|A              |   9|   0
9150 |HD 303812                          |*  |11 08 15.4368582636 -58 40 08.889622957|     ~|10.35 |10.22 |     ~|     ~|A              |  10|   0
9151 |HD 304694                          |*  |09 32 09.7823 -61 29 51.242            |     ~|11.28 |11.08 |     ~|     ~|A              |   2|   0
9152 |HD 304840                          |*  |10 02 22.873 -60 00 24.70              |     ~| 9.328| 9.399|     ~|     ~|A              |   4|   1
9153 |HD 312153                          |*  |13 00 19.2960769292 -62 28 24.731297929|     ~|11.52 |11.15 |     ~|     ~|A              |   1|   0
9154 |OM 47                              |HV*|02 28 19.8053321120 -73 47 50.390009380|     ~|12.98 |12.39 |12.99 |     ~|A              |   1|   0
9155 |HD 309344                          |Em*|11 56 13.4668318419 -63 12 30.071328144|     ~|11.30 |10.85 |     ~|     ~|A              |   1|   0
9156 |HD 252460                          |Ro*|06 09 45.4160395119 +24 12 52.292426200|     ~|10.18 |10.05 |10.504|     ~|A              |   4|   0
9157 |HD 327386                          |*  |15 50 10.5218123136 -45 22 33.567495404|     ~|11.39 |11.18 |     ~|     ~|A              |   1|   0
9158 |HD 295103                          |*  |06 27 58.0183758026 -04 53 15.641542741|     ~|10.50 |10.34 |     ~|     ~|A              |   4|   0
9159 |HD 301979                          |*  |11 50 38.5641042354 -57 50 10.042017092|     ~|11.18 |10.94 |     ~|     ~|A              |   1|   0
9160 |V* VZ Dra                          |RR*|16 21 05.7451827059 +58 27 02.910251024|     ~|     ~|     ~|     ~|     ~|A              |  33|   0
9161 |HD 299587                          |*  |11 00 27.0563779505 -51 46 11.099720817|     ~|11.57 |11.04 |     ~|     ~|A              |   1|   0
9162 |HD 303070                          |*  |10 34 39.6618059015 -58 07 36.838553676|     ~|11.36 |11.20 |     ~|     ~|A              |   2|   0
9163 |BD-14 2023                         |*  |07 36 39.4262059894 -14 23 34.159017126|     ~|10.34 |10.16 |10.32 |     ~|AIV            |   7|   0
9164 |V* DD Hya                          |RR*|08 12 31.8118167636 +02 50 05.009747054|     ~|     ~|     ~|     ~|     ~|Av             |  49|   0
9165 |HD 308887                          |*  |11 41 59.0349780194 -62 28 45.562362114|     ~|11.31 |10.72 |     ~|     ~|A              |   2|   0
9166 |CPD-33 5011                        |*  |18 17 49.135 -33 23 23.80              |     ~|10.91 |10.75 |     ~|     ~|A              |   1|   0
9167 |HD 304867                          |*  |10 01 46.2021257874 -60 23 05.020395639|     ~|11.19 |10.85 |     ~|     ~|A              |   1|   0
9168 |HD 303101                          |*  |10 36 54.6095452887 -58 57 02.047873522|     ~|11.09 |11.47 |     ~|     ~|A              |   1|   0
9169 |HD 300163                          |*  |09 32 14.2496304123 -56 58 33.621025817|     ~|11.37 |10.75 |     ~|     ~|A              |   1|   0
9170 |HD 306795                          |*  |11 35 51.9936762084 -61 39 39.678388223|     ~|10.689|10.671|     ~|     ~|A              |  13|   0
9171 |HD 310892                          |*  |11 50 07.1451456988 -64 21 28.489983772|     ~|11.54 |11.11 |     ~|     ~|A              |   1|   0
9172 |HD 316094                          |*  |17 37 07.230 -29 52 02.86              |     ~|11.01 |10.36 |     ~|     ~|A              |   2|   0
9173 |HD 308886                          |*  |11 41 50.9003280624 -62 28 26.381455751|     ~|11.24 |11.49 |     ~|     ~|A              |   2|   0
9174 |EC 04228-4652                      |HB*|04 24 17.4321433755 -46 45 24.569223799|14.48 |14.92 |15.04 |     ~|     ~|A              |   2|   0
9175 |EC 21390-6704                      |HB*|21 43 05.3 -66 50 48                   |12.39 |12.74 |12.81 |     ~|     ~|A              |   1|   0
9176 |SDSS J112138.73-005319.5           |*  |11 21 38.7178768352 -00 53 19.569421912|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9177 |SDSS J123017.35+090459.7           |*  |12 30 17.3508678990 +09 04 59.796517395|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9178 |SDSS J133502.17+082517.9           |*  |13 35 02.1702327379 +08 25 17.945229634|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9179 |SDSS J002716.16-000240.3           |*  |00 27 16.1680532722 -00 02 40.292912468|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9180 |SDSS J003551.53+005313.8           |*  |00 35 51.5322902262 +00 53 13.852670819|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9181 |SDSS J003932.87-005312.1           |*  |00 39 32.8656011179 -00 53 12.153789014|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9182 |SDSS J003844.17-001620.2           |*  |00 38 44.1754259668 -00 16 20.367674788|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9183 |SDSS J003744.19-004720.1           |*  |00 37 44.1910557028 -00 47 20.139395929|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9184 |SDSS J003653.00-002157.9           |*  |00 36 53.0054784274 -00 21 57.944105031|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9185 |SDSS J003314.17+004319.6           |*  |00 33 14.1735752816 +00 43 19.594830837|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9186 |SDSS J003603.86+011048.8           |*  |00 36 03.8587253438 +01 10 48.889803093|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9187 |SDSS J003514.27+003311.3           |*  |00 35 14.2701771596 +00 33 11.367004611|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9188 |SDSS J004407.12-004052.3           |*  |00 44 07.1171010465 -00 40 52.339720233|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9189 |SDSS J004258.19-004650.3           |*  |00 42 58.1861820772 -00 46 50.315949126|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9190 |SDSS J003938.32-001938.3           |*  |00 39 38.3273518390 -00 19 38.384115743|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9191 |SDSS J003635.05-003416.2           |*  |00 36 35.0465854562 -00 34 16.198004194|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9192 |SDSS J003739.05+000842.3           |*  |00 37 39.0501481893 +00 08 42.328427828|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9193 |SDSS J004349.95-005747.8           |*  |00 43 49.9492951335 -00 57 47.914579954|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9194 |SDSS J005300.74-002927.3           |*  |00 53 00.7352595156 -00 29 27.250441126|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9195 |SDSS J004818.94-011318.3           |*  |00 48 18.9287362042 -01 13 18.291152338|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9196 |SDSS J004717.67+000250.7           |*  |00 47 17.6659596953 +00 02 50.729389452|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9197 |SDSS J004403.07+010620.1           |*  |00 44 03.0650773169 +01 06 20.208971433|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9198 |SDSS J015428.67-011035.7           |*  |01 54 28.6634785264 -01 10 35.640831365|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9199 |SDSS J015629.59+001537.7           |*  |01 56 29.5908259271 +00 15 37.670544450|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9200 |SDSS J022834.58-004831.1           |*  |02 28 34.5785316492 -00 48 31.122661243|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9201 |SDSS J022623.54-000921.6           |*  |02 26 23.5340700691 -00 09 21.594919527|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9202 |SDSS J023145.79-001219.8           |*  |02 31 45.7908647317 -00 12 19.747313700|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9203 |SDSS J022245.11+000458.0           |*  |02 22 45.1150845026 +00 04 58.011034639|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9204 |SDSS J013826.70-003532.1           |*  |01 38 26.6925313954 -00 35 32.115371932|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9205 |SDSS J013438.11-000315.2           |*  |01 34 38.1067415466 -00 03 15.230645947|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9206 |SDSS J013507.20-000042.5           |*  |01 35 07.1941864748 -00 00 42.561892146|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9207 |SDSS J014049.46+002851.5           |*  |01 40 49.4567345835 +00 28 51.609235761|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9208 |SDSS J014105.06-000526.8           |*  |01 41 05.0662570487 -00 05 26.810353547|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9209 |SDSS J022932.45-001427.8           |*  |02 29 32.4504400541 -00 14 27.848309178|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9210 |SDSS J024219.28-003059.7           |*  |02 42 19.2759424808 -00 30 59.760229038|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9211 |SDSS J024200.12-002034.0           |*  |02 42 00.1244244082 -00 20 34.075253367|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9212 |SDSS J024050.19-010800.1           |*  |02 40 50.1839094570 -01 08 00.097542824|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9213 |SDSS J023737.36+010914.4           |*  |02 37 37.3581201162 +01 09 14.452564010|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9214 |SDSS J024453.43+002537.9           |*  |02 44 53.430 +00 25 37.99              |     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9215 |SDSS J024517.32+003544.1           |*  |02 45 17.3162049790 +00 35 44.098983366|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9216 |SDSS J024416.17+000804.0           |*  |02 44 16.1703381850 +00 08 04.052334618|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9217 |SDSS J024813.43+001705.3           |*  |02 48 13.4255366771 +00 17 05.415042421|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9218 |SDSS J072531.96+394953.1           |*  |07 25 31.9600696275 +39 49 53.149416645|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9219 |SDSS J071819.51+392252.5           |*  |07 18 19.5167515792 +39 22 52.627941931|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9220 |SDSS J071828.67+395638.6           |*  |07 18 28.6704709850 +39 56 38.649080232|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9221 |SDSS J071906.66+400123.7           |*  |07 19 06.6585908925 +40 01 23.756402465|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9222 |SDSS J072629.86+413153.8           |*  |07 26 29.8678722050 +41 31 53.878374347|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9223 |SDSS J073301.92+381959.7           |*  |07 33 01.9224981794 +38 19 59.783195813|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9224 |SDSS J072553.95+390509.5           |*  |07 25 53.9487118603 +39 05 09.563305137|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9225 |SDSS J072827.60+393434.9           |*  |07 28 27.6002597796 +39 34 34.917609687|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9226 |SDSS J072728.50+420047.6           |*  |07 27 28.4982286063 +42 00 47.694144941|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
9227 |SDSS J073544.56+434348.3           |*  |07 35 44.5557943823 +43 43 48.370149459|     ~|     ~|     ~|     ~|     ~|sdA            |   1|   0
