C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET22:57:14

sptypes = 'O'
-------------

Number of objects : 1597

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |   spec. type    |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------|----|----
63  |PG 1613+426                        |HS*|16 14 46.9285124253 +42 27 35.945737136|     ~|13.99 |14.39 |14.76 |     ~|sdOA             |  21|   0
64  |CSO 764                            |HS*|15 31 00.6043014295 +51 45 06.985220844|     ~|17.9  |18.0  |     ~|     ~|sdOC             |   9|   0
65  |PG 1348+607                        |HS*|13 50 16.0232560455 +60 24 37.747250223|     ~|15.9  |16.660|16.4  |     ~|sdOC1VIIHe40     |  12|   1
66  |LB 256                             |HS*|11 22 42.6864800613 +61 37 58.406280504|     ~|15.02 |15.39 |15.68 |     ~|sdO              |  15|   0
67  |PG 0924+565                        |HS*|09 28 30.5493216497 +56 18 11.769992325|     ~|15.58 |15.91 |16.18 |     ~|sdO              |  12|   0
68  |PG 0823+499                        |HS*|08 27 36.7765365086 +49 45 33.906411017|     ~|12.07 |12.22 |12.25 |     ~|sdOA             |  16|   0
69  |PG 1539+442                        |HS*|15 40 43.1009930158 +43 59 50.067980585|     ~|16.6  |     ~|16.5  |     ~|sdOHe            |  11|   0
70  |PG 1449+530                        |HS*|14 51 17.4591052231 +52 50 20.466224476|     ~|15.09 |15.30 |15.59 |     ~|sdO              |   9|   0
71  |SBSS 1445+514                      |HS*|14 47 09.2004264159 +51 16 39.834883980|     ~|18.9  |     ~|19.4  |     ~|sdO              |   7|   0
72  |SBSS 1317+601                      |HS*|13 19 37.7323023058 +59 52 57.188079203|     ~|17.0  |     ~|     ~|     ~|sdO              |   8|   0
73  |SBSS 1150+599                      |PN |11 53 24.7390111544 +59 39 57.048984657|     ~|17.5  |     ~|     ~|     ~|O(H)III-V        |  61|   0
74  |GD 299                             |HS*|09 38 20.3523773178 +55 05 50.091654658|10.666|11.824|12.093|12.178|12.261|sdOHe            |  38|   0
75  |KUV 07596+4123                     |HS*|08 02 59.8053825811 +41 14 38.040331176|     ~|15.38 |15.38 |     ~|     ~|sdO              |  18|   0
76  |CSO 744                            |HS*|15 21 43.8693151442 +45 00 22.443934132|     ~|17.2  |     ~|18.1  |     ~|sdOHe            |   6|   0
77  |EGGR 488                           |HS*|15 25 53.4631595846 +43 41 27.774692293|     ~|15.60 |15.63 |     ~|     ~|sdO+F2:kA1       |  21|   0
78  |SBSS 1408+524B                     |HS*|14 10 16.1098719736 +52 12 11.056803488|     ~|     ~|     ~|14.85 |     ~|sdOA             |   7|   0
79  |SBSS 1418+518                      |HS*|14 20 17.2195106459 +51 39 04.230725021|     ~|18.5  |     ~|     ~|     ~|sdO              |   8|   0
80  |SBSS 1353+538                      |HS*|13 55 15.9077325454 +53 34 42.484907653|     ~|12.66 |12.96 |13.36 |     ~|sdOA             |   5|   0
81  |SBSS 1325+569                      |HS*|13 27 47.8700849440 +56 40 40.112099839|     ~|17.5  |     ~|     ~|     ~|sdOHe            |   6|   0
82  |PG 1224+583                        |HS*|12 26 37.1294175021 +57 59 27.796858966|     ~|16.39 |     ~|     ~|     ~|sdO              |  11|   0
83  |PG 0825+428                        |HS*|08 28 57.5546375913 +42 40 41.973582193|     ~|15.34 |15.23 |15.21 |     ~|sdOD             |  13|   0
84  |PG 1511+447                        |HS*|15 12 58.7644059765 +44 32 21.258406502|     ~|15.60 |     ~|     ~|     ~|sdOA             |  11|   0
85  |PG 1447+459                        |HS*|14 48 57.1076823887 +45 45 34.460341607|     ~|14.94 |15.04 |15.36 |     ~|sdOA             |   7|   0
86  |V* UX UMa                          |NL*|13 36 40.9533414077 +51 54 49.424110262|     ~|12.78 |13.26 |     ~|     ~|Oev:             | 503|   0
87  |SBSS 1330+528                      |HS*|13 32 02.6018623366 +52 37 34.964742415|     ~|18.0  |     ~|     ~|     ~|sdO              |   7|   0
88  |SBSS 1211+553                      |HS*|12 14 24.8253743539 +55 02 26.131676181|     ~|16.5  |     ~|     ~|     ~|sdO              |  11|   0
89  |SBSS 1011+524A                     |HS*|10 14 18.9712504332 +52 10 07.549012470|     ~|17.0  |     ~|18.4  |     ~|sdOA             |   7|   0
90  |SBSS 0934+495                      |HS*|09 37 14.6636263929 +49 16 42.786424205|     ~|18.5  |     ~|     ~|     ~|sdO              |   8|   0
91  |KUV 08191+3951                     |HS*|08 22 26.2655489898 +39 41 19.128786276|     ~|16.7  |17.126|17.1  |     ~|sdO              |   8|   0
92  |KUV 08247+4050                     |HS*|08 28 02.0393554811 +40 40 08.965782085|     ~|17.1  |17.950|18.2  |     ~|sdO              |  11|   0
93  |Ton 102                            |HS*|12 40 38.2822273009 +51 16 00.275951643|     ~|13.32 |13.63 |13.99 |     ~|sdO              |  16|   0
94  |PG 1038+510                        |HS*|10 41 23.1387468397 +50 44 20.154805337|     ~|14.82 |15.31 |     ~|     ~|sdOHe            |  13|   0
95  |SBSS 1034+496                      |HS*|10 37 25.7554002393 +49 25 41.622875208|     ~|16.5  |     ~|     ~|     ~|sdO              |   7|   0
96  |Ton 90                             |HS*|12 36 52.6645420588 +50 15 13.528764142|     ~|14.45 |14.68 |14.95 |     ~|sdO              |  16|   0
97  |SBSS 1234+500                      |HS*|12 36 33.4289591592 +49 47 00.249398910|     ~|18.0  |     ~|     ~|     ~|sdO              |   7|   0
98  |US 708                             |HS*|09 33 20.8630614743 +44 17 05.503100302|     ~|18.5  |18.8  |     ~|     ~|sdOHe            |  74|   0
99  |PB 146                             |HS*|13 18 47.0803982808 +44 35 42.190690538|     ~|14.5  |     ~|     ~|     ~|sdOD             |  10|   0
100 |PG 1314+442                        |HS*|13 16 33.1113722506 +43 59 05.455771680|14.115|15.108|15.243|15.222|15.190|sdOA             |  10|   0
101 |CBS 461                            |HS*|12 17 03.1547651332 +45 45 39.315908506|     ~|     ~|     ~|     ~|     ~|sdO              |   7|   0
