C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
167 |RX J2224.5+6128                    |*  |22 24 30.39 +61 28 19.3                |     ~|17.0  |     ~|     ~|     ~|MV:e           |   1|   0
168 |USNO-A2.0 1500-09070020            |*  |22 26 28.3106073382 +61 45 55.313709789|     ~|16.0  |     ~|     ~|     ~|M              |   1|   0
169 |IRAS 23244+6322                    |*  |23 26 43.1105710808 +63 39 24.980413330|     ~|14.77 |12.43 |12.03 |     ~|M              |   2|   0
170 |[MK97] 89                          |*  |23 27 58.9317346171 +63 55 50.135407666|     ~|16.77 |14.19 |13.43 |     ~|M              |   1|   0
171 |GSC 04017-00644                    |*  |00 51 54.2314133152 +61 28 40.248683000|     ~|12.22 |11.28 |     ~|     ~|M              |   1|   0
172 |V* V538 Cas                        |V* |01 18 07.2010636548 +61 43 04.406973278|     ~| 9.51 | 7.8  |     ~|     ~|Me             |  13|   0
173 |[D75b] Star 10                     |S* |02 19 16.7603003313 +59 42 21.598980817|     ~|15.1  |     ~|     ~|     ~|MS             |   8|   0
174 |[D75b] Star 14                     |S* |02 25 19.3371285617 +58 16 10.633330402|     ~|16.0  |     ~|     ~|     ~|MS             |   2|   0
175 |Cl* Melotte 20 AP 336              |*  |03 31 55.1502676466 +49 08 29.760674464|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
176 |Cl* Melotte 20 AP 350              |*  |03 32 06.8935074964 +49 25 22.465171242|     ~|     ~|     ~|     ~|     ~|M              |   4|   0
177 |V* V2305 Cyg                       |S* |19 53 47.9189509283 +47 11 43.419596221|     ~|     ~|13.807|     ~|     ~|MS             |  10|   0
178 |BD+50 3000                         |*  |20 10 05.1663573390 +50 34 18.951668457|     ~|11.32 | 9.80 |     ~|     ~|M              |   1|   0
179 |V* CX Cyg                          |Mi*|20 10 43.5419798398 +49 49 57.139108056|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
180 |[MK97] 1                           |*  |20 46 02.5451898927 +55 06 12.475787781|     ~|     ~|     ~|11.94 |     ~|M              |   1|   0
181 |[MK97] 5                           |*  |20 48 36.4431490191 +54 50 24.344318039|     ~|     ~|     ~|12.05 |     ~|M              |   1|   0
182 |[MK97] 6                           |*  |20 48 45.4761529400 +55 46 53.654984584|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
183 |2MASS J22254586+6538324            |*  |22 25 45.8615540235 +65 38 32.502049933|     ~|     ~|     ~|     ~|     ~|MV:e           |   1|   0
184 |[D75b] Star 90                     |S* |23 46 18.4600225756 +66 49 27.537654885|     ~|16.5  |     ~|     ~|     ~|MS             |   5|   0
185 |S1* 51                             |AB?|02 53 26.2376530211 +58 51 06.046406104|     ~|13.60 |11.21 |10.582|     ~|M              |   2|   1
186 |V* V2087 Cyg                       |LP*|19 41 27.5376708898 +47 19 41.197597122|     ~| 8.87 | 7.24 |     ~|     ~|Ma             |   8|   0
187 |HD 235080                          |*  |20 01 20.5964956896 +52 38 16.441835777|     ~|12.18 |10.31 |     ~|     ~|M              |   1|   0
