C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
2833|ULAS J125620.86-000320.2           |*  |12 56 20.820 -00 03 20.15              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2834|ULAS J125801.93-000356.5           |*  |12 58 01.938 -00 03 56.73              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2835|SDSS J125844.65-002417.1           |*  |12 58 44.6428138593 -00 24 17.387154238|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2836|ULAS J125940.49+002020.9           |*  |12 59 40.495 +00 20 20.64              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2837|2MASS J13002391+0025504            |LM*|13 00 23.91840 +00 25 50.4768          |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
2838|2MASS J13015134-0019129            |*  |13 01 51.35 -00 19 13.0                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2839|SDSS J130157.23+001700.7           |*  |13 01 57.2161197558 +00 17 00.584358858|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2840|SDSS J130223.21-000126.4           |*  |13 02 23.2128517228 -00 01 25.883677745|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2841|SDSS J130341.34+000941.4           |*  |13 03 41.3473176959 +00 09 41.484478889|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2842|SDSS J130441.64-002327.4           |*  |13 04 41.6485248337 -00 23 27.434008638|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2843|SDSS J130551.45-002114.4           |*  |13 05 51.4525201647 -00 21 14.515169331|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2844|ULAS J130605.26-001059.5           |*  |13 06 05.299 -00 10 59.52              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2845|SDSS J130647.33-000007.3           |*  |13 06 47.3336623895 -00 00 07.312046474|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2846|SDSS J130731.59-002047.5           |*  |13 07 31.6024277387 -00 20 47.500369649|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2847|SDSS J130801.66+002156.6           |*  |13 08 01.6590078722 +00 21 56.817721938|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2848|SDSS J130803.86+001005.2           |*  |13 08 03.8612515864 +00 10 05.364467824|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2849|SDSS J130915.61-002402.2           |*  |13 09 15.6169928130 -00 24 02.244855646|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2850|SDSS J131043.71-000439.4           |*  |13 10 43.7142342559 -00 04 39.500179630|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2851|SDSS J131044.34+001403.9           |*  |13 10 44.2916118684 +00 14 04.144466257|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2852|SDSS J131113.61-001251.9           |*  |13 11 13.6222085417 -00 12 51.895312693|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2853|ULAS J131400.96-000109.5           |*  |13 14 00.958 -00 01 09.78              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2854|ULAS J131630.71-001308.8           |*  |13 16 30.718 -00 13 08.86              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2855|2MASS J13170741+0014415            |*  |13 17 07.4227804767 +00 14 41.574180689|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2856|SDSS J131722.98+002629.5           |BD?|13 17 22.985 +00 26 29.57              |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
2857|SDSS J131729.66+000251.6           |*  |13 17 29.6646832911 +00 02 51.634057633|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2858|SDSS J131730.25+000057.2           |*  |13 17 30.2502552567 +00 00 57.231552730|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2859|SDSS J131734.11+000826.8           |*  |13 17 34.1094093028 +00 08 26.761912263|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2860|SDSS J131830.17-000521.1           |*  |13 18 30.1675966722 -00 05 21.067926020|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2861|SDSS J131839.85+001925.8           |*  |13 18 39.8539560784 +00 19 25.850395150|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2862|SDSS J131843.47+001805.9           |*  |13 18 43.4574522033 +00 18 05.768579290|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2863|SDSS J133421.44-001332.5           |*  |13 34 21.4212612309 -00 13 32.484562947|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2864|SDSS J133445.05+000111.7           |BD?|13 34 45.054 +00 01 11.74              |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
2865|ULAS J133645.16+001040.5           |*  |13 36 45.148 +00 10 40.59              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2866|SDSS J133650.87+000738.9           |*  |13 36 50.8730618644 +00 07 39.079112363|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2867|SDSS J133707.09+000159.5           |*  |13 37 07.0941170937 +00 01 59.628726831|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2868|ULAS J133909.85-001620.7           |*  |13 39 09.861 -00 16 20.67              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2869|SDSS J133915.28-001041.9           |*  |13 39 15.2954610316 -00 10 41.831567243|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2870|ULAS J140716.44-001039.7           |*  |14 07 16.430 -00 10 39.59              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2871|ULAS J140717.85+001722.4           |*  |14 07 17.861 +00 17 22.60              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2872|SDSS J140730.78+001331.0           |*  |14 07 30.7847147890 +00 13 31.109865936|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2873|2MASS J14073207+0023592            |PM*|14 07 32.0748896096 +00 23 59.295578605|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2874|2MASS J14075133-0009217            |*  |14 07 51.33 -00 09 21.7                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2875|SDSS J140826.96+000545.6           |*  |14 08 26.9700951221 +00 05 45.655189119|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2876|SDSS J140832.65+001654.8           |*  |14 08 32.6497092670 +00 16 54.861543977|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2877|ULAS J140839.38+001540.8           |*  |14 08 39.399 +00 15 40.63              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2878|ULAS J140858.83+002635.5           |*  |14 08 58.827 +00 26 35.62              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2879|2MASS J14090540+0026124            |*  |14 09 05.3920308953 +00 26 12.343110999|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2880|SDSS J140922.27+002405.5           |*  |14 09 22.2632586484 +00 24 05.296254461|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2881|ULAS J140922.48+000416.5           |*  |14 09 22.505 +00 04 16.60              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2882|2MASS J14093083+0013125            |*  |14 09 30.83 +00 13 12.6                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2883|ULAS J141013.62+002443.3           |*  |14 10 13.617 +00 24 43.19              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2884|ULAS J141036.42-000159.5           |*  |14 10 36.423 -00 01 59.64              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2885|SDSS J141055.08+002002.1           |*  |14 10 55.0776700774 +00 20 02.224713155|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2886|ULAS J141058.56+001708.0           |*  |14 10 58.598 +00 17 07.99              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2887|SDSS J141155.86+000805.2           |*  |14 11 55.8667666719 +00 08 05.334018947|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2888|SDSS J141158.88+000905.5           |*  |14 11 58.8536683835 +00 09 05.586026251|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2889|ULAS J141206.67+001802.9           |*  |14 12 06.661 +00 18 02.64              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2890|2MASS J14124129+0018362            |*  |14 12 41.29 +00 18 36.2                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2891|SDSS J141246.57+001658.9           |*  |14 12 46.5717488418 +00 16 58.926180091|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2892|SDSS J141413.38+001327.8           |*  |14 14 13.3852502011 +00 13 27.920338248|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2893|2MASS J14143767+0021481            |PM*|14 14 37.6793038644 +00 21 48.156976313|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2894|SDSS J141457.89+001131.9           |*  |14 14 57.9018863960 +00 11 31.946661118|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2895|ULAS J141501.81-002330.4           |*  |14 15 01.815 -00 23 30.61              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2896|SDSS J141520.08-002413.8           |*  |14 15 20.0676449113 -00 24 13.644989200|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2897|SDSS J141523.56+001208.5           |*  |14 15 23.5713480899 +00 12 08.428349754|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2898|ULAS J141629.42-000639.7           |*  |14 16 29.430 -00 06 39.79              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2899|ULAS J141649.92+000624.4           |*  |14 16 49.937 +00 06 24.34              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2900|SDSS J141656.32-002212.5           |*  |14 16 56.3233701332 -00 22 12.571933433|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2901|2MASS J14170297+0008240            |*  |14 17 02.9562942064 +00 08 23.834571487|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2902|ULAS J141712.57-001821.1           |*  |14 17 12.608 -00 18 21.29              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2903|SDSS J141918.18-001758.5           |*  |14 19 18.1656882407 -00 17 58.551102462|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2904|SDSS J141919.56-001904.4           |*  |14 19 19.5529571938 -00 19 04.881541074|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2905|SDSS J141948.99+001351.3           |*  |14 19 48.9953631721 +00 13 51.192773239|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2906|SDSS J142007.31-002327.9           |*  |14 20 07.3043411568 -00 23 28.114360334|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2907|SDSS J142015.83+000626.3           |*  |14 20 15.8332063012 +00 06 26.205447913|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2908|SDSS J142043.58-001110.7           |*  |14 20 43.5690385253 -00 11 10.933070727|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2909|ULAS J154113.81+053816.8           |*  |15 41 13.817 +05 38 16.75              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2910|SDSS J154147.87+053551.8           |*  |15 41 47.8701786262 +05 35 51.889220773|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2911|SDSS J154412.87+055552.7           |*  |15 44 12.8580683059 +05 55 52.642178020|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2912|SDSS J154426.65+053224.7           |*  |15 44 26.6520591410 +05 32 24.843631529|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2913|SDSS J154542.24+055518.4           |*  |15 45 42.2400920068 +05 55 18.533460536|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2914|SDSS J154551.73+055938.7           |*  |15 45 51.7310243653 +05 59 38.825278507|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2915|SDSS J154617.49+060301.3           |*  |15 46 17.4937222531 +06 03 01.418275743|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2916|2MASS J15461987+0606138            |*  |15 46 19.8960249477 +06 06 13.876915726|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2917|SDSS J154630.56+060329.6           |*  |15 46 30.5601063638 +06 03 29.699296660|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2918|2MASS J15463222+0530272            |*  |15 46 32.2154971245 +05 30 27.206206218|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2919|2MASS J15470397+0532488            |*  |15 47 03.9637001975 +05 32 48.805059687|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2920|SDSS J154716.13+051918.9           |*  |15 47 16.1217118189 +05 19 18.870493800|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2921|SDSS J154806.27+053326.2           |*  |15 48 06.2763243294 +05 33 26.306262775|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2922|2MASS J15524241+0547052            |*  |15 52 42.41 +05 47 05.2                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2923|ULAS J155259.67+053858.5           |*  |15 52 59.628 +05 38 58.06              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2924|SDSS J155156.59+352928.0           |LM*|15 51 56.6125134620 +35 29 28.128481152|     ~|     ~|     ~|     ~|     ~|dM             |   3|   0
2925|SDSS J163317.33+351452.3           |LM*|16 33 17.3353568909 +35 14 52.484430198|     ~|     ~|     ~|     ~|     ~|dM             |   3|   0
2926|SDSS J164051.43+314245.6           |LM*|16 40 51.4380747955 +31 42 45.727765863|     ~|     ~|     ~|     ~|     ~|dM             |   3|   0
2927|V* V894 Cen                        |LP*|14 15 50.9544439051 -60 01 15.158278673|     ~|     ~|     ~|     ~|     ~|M              |   7|   1
2928|[BSS2007] 144                      |Y*?|00 56 06.299 -72 24 52.52              |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
2929|SDSS J125109.42+004323.5           |*  |12 51 09.4275698580 +00 43 23.558866264|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
2930|[WWV2004] J0025312+863743          |Mi*|00 25 31.4609522746 +86 37 43.948387397|     ~|     ~|     ~|     ~|     ~|Mp             |   2|   0
2931|2MASS J05013539-6759434            |LP*|05 01 35.4249273620 -67 59 43.341366111|     ~|     ~|16.058|14.059|13.855|M              |   3|   0
2932|2MASS J19443399-1446237            |*  |19 44 34.0013204206 -14 46 23.749250412|     ~|     ~|     ~|     ~|16.70 |M              |   2|   0
2933|2MASS J19445689-1442381            |*  |19 44 56.8865607388 -14 42 38.284406748|     ~|     ~|     ~|     ~|17.99 |M              |   2|   0
2934|[MK97] 33                          |*  |21 03 39.8801363998 +53 50 20.177794842|     ~|15.49 |13.09 |12.44 |     ~|M              |   2|   1
2935|IPHAS J184222.67+025807.0          |*  |18 42 22.6746559963 +02 58 07.053932249|     ~|     ~|     ~|     ~|     ~|dMe            |   1|   0
2936|2MASS J18492221-2932173            |*  |18 49 22.2122113482 -29 32 17.268517447|     ~|     ~|     ~|     ~|     ~|MIII           |   2|   0
2937|2MASS J18533326-3201456            |*  |18 53 33.2682389086 -32 01 45.695089038|     ~|     ~|     ~|     ~|     ~|MIII           |   3|   0
2938|2MASS J18553412-3020551            |*  |18 55 34.1231401552 -30 20 55.242807705|     ~|     ~|     ~|     ~|     ~|MIII           |   5|   0
2939|2MASS J18555559-2933163            |*  |18 55 55.599 -29 33 16.33              |     ~|     ~|     ~|     ~|     ~|MIII           |   2|   0
2940|2MASS J19021348-3130298            |*  |19 02 13.4940548293 -31 30 29.991265774|     ~|     ~|     ~|     ~|     ~|MIII           |   2|   0
2941|2MASS J20313337-3244528            |RB?|20 31 33.3690236214 -32 44 52.858375240|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
2942|SDSS J084008.35+490337.9           |*  |08 40 08.4463068987 +49 03 38.110610772|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
2943|SDSS J090602.98+275925.1           |PM*|09 06 03.0073146407 +27 59 24.742085277|     ~|     ~|     ~|     ~|     ~|M              |   4|   0
2944|2MASS J03444306+3137338            |Y*?|03 44 43.0513591663 +31 37 33.719669295|     ~|     ~|     ~|     ~|     ~|MIII:          |   8|   0
2945|SSTc2d J182955.9+010918            |*  |18 29 55.940 +01 09 17.49              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2946|MOA 2009-BLG-387                   |*  |17 53 50.8 -33 59 25                   |     ~|     ~|     ~|     ~|     ~|M              |  17|   1
2947|[H97b] 20282                       |*  |05 35 04.62 -05 22 44.8                |     ~|     ~|     ~|     ~|19.563|M              |   2|   0
2948|2MASS J04522462-6702546            |LP*|04 52 24.6291318989 -67 02 54.779508946|     ~|     ~|16.84 |14.486|14.300|M              |   7|   0
2949|OGLE 2004-BUL-482                  |*  |17 57 30.6270445607 -30 51 30.605822846|     ~|     ~|     ~|     ~|14.57 |MIII           |   6|   0
2950|IRAS 03119+3219                    |V* |03 15 03.2743745307 +32 30 18.865630053|     ~|11.8  |     ~| 9.9  |     ~|M              |   4|   0
2951|[LAC2009] 25                       |*  |22 17 10.68 +00 11 06.4                |     ~|     ~|25.81 |25.21 |     ~|M              |   2|   0
2952|ULAS J221723.57+001443.3           |*  |22 17 23.5676586771 +00 14 43.505315673|     ~|21.51 |20.56 |20.00 |     ~|M              |   2|   0
2953|SDSS J221744.67+001748.7           |*  |22 17 44.678 +00 17 48.78              |     ~|23.11 |21.92 |21.20 |     ~|M              |   3|   0
2954|[SLB2015] 10674                    |*  |22 17 50.0749185827 +00 11 33.132946312|     ~|     ~|     ~|     ~|     ~|M              |   2|   0
2955|[LAC2009] 22                       |*  |22 17 10.07 +00 13 03.3                |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
2956|[LAC2009] 290                      |*  |22 18 06.10 +00 17 44.4                |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
2957|ChOPS J165350.37-394621.9          |*  |16 53 50.37 -39 46 21.9                |     ~|     ~|     ~|19.32 |     ~|dMe:           |   1|   0
2958|ChOPS J165357.34-394847.9          |*  |16 53 57.34 -39 48 47.9                |     ~|     ~|     ~|19.93 |     ~|dMe:           |   1|   0
2959|ChOPS J165358.28-394812.6          |*  |16 53 58.28 -39 48 12.6                |     ~|     ~|     ~|19.25 |     ~|M              |   1|   0
2960|ChOPS J165358.44-394745.6          |*  |16 53 58.419 -39 47 45.32              |     ~|     ~|     ~|17.45 |     ~|M              |   2|   0
2961|ChOPS J165359.83-394856.1          |*  |16 53 59.83 -39 48 56.1                |     ~|     ~|     ~|19.58 |     ~|dMe            |   1|   0
2962|ChOPS J165400.81-395145.5          |*  |16 54 00.81 -39 51 45.5                |     ~|     ~|     ~|21.50 |     ~|dMe:           |   1|   0
2963|ChOPS J165403.00-394816.3          |*  |16 54 03.00 -39 48 16.3                |     ~|     ~|     ~|20.56 |     ~|dMe            |   1|   0
2964|ChOPS J165411.04-395200.6          |*  |16 54 11.04 -39 52 00.6                |     ~|     ~|     ~|21.14 |     ~|dMe            |   1|   0
2965|ChOPS J165422.01-395205.0          |*  |16 54 22.01 -39 52 05.0                |     ~|     ~|     ~|19.57 |     ~|dMe            |   1|   0
2966|ChOPS J171518.23-400147.9          |*  |17 15 18.23 -40 01 47.9                |     ~|     ~|     ~|20.46 |     ~|dMe            |   1|   0
2967|ChOPS J171532.99-400220.4          |*  |17 15 32.99 -40 02 20.4                |     ~|     ~|     ~|17.317|     ~|M              |   1|   0
2968|ChOPS J174649.59-282338.1          |*  |17 46 49.59 -28 23 38.1                |     ~|     ~|     ~|18.82 |     ~|dMe            |   1|   0
2969|2MASS J18552080-3025111            |LP*|18 55 20.8040129603 -30 25 11.161704895|     ~|     ~|     ~|     ~|     ~|M              |   2|   0
2970|2MASS J01241236-4537057            |*  |01 24 12.3788866710 -45 37 05.682194986|     ~|     ~|     ~|     ~|     ~|MIII           |   1|   0
2971|2MASS J13414737-0813470            |LP*|13 41 47.3801003597 -08 13 47.007194999|     ~|     ~|15.96 |     ~|     ~|MIII           |   3|   0
2972|2MASS J05414893-0152298            |Y*O|05 41 48.932 -01 52 29.83              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
2973|SDSS J014523.56-010157.4           |PM*|01 45 23.5583001181 -01 01 57.492469632|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2974|SDSS J030953.45-002744.0           |*  |03 09 53.4599938204 -00 27 43.904660604|     ~|     ~|     ~|     ~|     ~|dMe            |   2|   0
2975|SDSS J080403.76+194419.6           |*  |08 04 03.7630555377 +19 44 19.829992209|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2976|SDSS J085612.41+143756.8           |*  |08 56 12.4183874386 +14 37 57.086331189|     ~|     ~|     ~|     ~|     ~|dM             |   4|   0
2977|SDSS J092513.88+370428.7           |*  |09 25 13.89240 +37 04 28.7148          |     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2978|SDSS J112149.99+285904.7           |*  |11 21 49.9671300390 +28 59 04.664813487|     ~|     ~|     ~|     ~|     ~|dM             |   5|   0
2979|SDSS J114647.22+224241.3           |*  |11 46 47.2104498757 +22 42 41.271026968|     ~|     ~|     ~|     ~|     ~|dMe            |   2|   0
2980|SDSS J130413.39+115035.2           |*  |13 04 13.4074580695 +11 50 35.255663625|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2981|SDSS J131517.50+423858.4           |*  |13 15 17.5184474943 +42 38 58.176024536|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2982|SDSS J135321.55+243741.9           |*  |13 53 21.54960 +24 37 41.9772          |     ~|     ~|     ~|     ~|     ~|dMe            |   2|   0
2983|SDSS J140804.90+435245.9           |*  |14 08 04.9130143267 +43 52 45.946930323|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2984|SDSS J141556.66+364839.0           |*  |14 15 56.6682617367 +36 48 39.164047638|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2985|SDSS J143332.30+414116.9           |*  |14 33 32.3240194576 +41 41 17.062058490|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2986|2MASS J14371743+3856268            |*  |14 37 17.4262642185 +38 56 26.738732508|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2987|SDSS J145317.72+312345.3           |*  |14 53 17.7061960632 +31 23 45.434900068|     ~|     ~|     ~|     ~|     ~|dM             |   3|   0
2988|SDSS J145901.14+322658.4           |*  |14 59 01.1463843916 +32 26 58.542638839|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2989|SDSS J150217.23+315849.1           |*  |15 02 17.2166609636 +31 58 49.357272986|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2990|SDSS J160349.69+084935.8           |*  |16 03 49.6945155078 +08 49 35.866705743|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2991|SDSS J160646.41+151651.0           |*  |16 06 46.4041551035 +15 16 50.783448135|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2992|SDSS J162702.51+252235.8           |*  |16 27 02.5246817345 +25 22 35.867220363|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2993|SDSS J164325.14+133400.3           |*  |16 43 25.1458957718 +13 34 00.263652898|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2994|SDSS J164641.23+295501.1           |*  |16 46 41.22528 +29 55 01.2396          |     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2995|SDSS J204900.00-003528.7           |*  |20 48 59.9977125031 -00 35 28.744714441|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2996|SDSS J221115.65-003533.5           |*  |22 11 15.6520974929 -00 35 33.443069858|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2997|2MASS J23322738+5310514            |*  |23 32 27.3770518966 +53 10 51.625307604|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2998|SDSS J234456.89+010757.7           |*  |23 44 56.8883259220 +01 07 57.882725775|     ~|     ~|     ~|     ~|     ~|dM             |   2|   0
2999|SDSS J174439.25+244258.2           |*  |17 44 39.2731638717 +24 42 58.337012192|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
3000|SDSS J123325.29+283241.3           |*  |12 33 25.2828891501 +28 32 41.472393207|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
3001|SDSS J132310.25+345856.5           |*  |13 23 10.2439636692 +34 58 56.409755650|     ~|     ~|     ~|     ~|     ~|M              |   2|   0
3002|SDSS J162700.30+161317.0           |*  |16 27 00.2837405573 +16 13 17.110808473|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
3003|** LDS 855                         |** |13 51 23.22 -27 33 52.3                |     ~|     ~|     ~|     ~|     ~|dM+DA          |   0|   0
3004|G 205-57B                          |PM*|19 10 14.1442181562 +46 57 19.187411030|     ~|     ~|     ~|     ~|     ~|M              |   5|   0
3005|Cl* IC 2391 PMM 5376               |*  |08 37 02.2592694876 -52 46 59.349969328|     ~|15.71 |14.31 |13.84 |     ~|Me             |   6|   0
3006|VSSG 27                            |Y*O|16 26 30.46896 -24 22 57.1440          |     ~|     ~|     ~|     ~|     ~|M              |  59|   0
3007|RAVE J200411.2-385640              |*  |20 04 11.1967410299 -38 56 40.167998423|     ~|13.5  |     ~|11.7  | 9.417|MIII           |   2|   0
3008|[MSJ2009] L1630MIR-89              |LM*|05 41 59.3062215100 -02 17 02.213161580|     ~|     ~|     ~|     ~|     ~|M              |   2|   0
3009|THA 34-5                           |Em*|18 05 44.3012560621 -22 21 57.001141569|     ~|14.81 |13.99 |13.55 |     ~|Me             |   4|   1
3010|ASAS J102457+0049.0                |V* |10 24 57.1475365567 +00 48 59.579948148|     ~|     ~|11.24 |10.33 |     ~|M              |   3|   0
3011|UCAC4 240-176851                   |PM*|20 07 55.2395035179 -42 05 14.657956284|     ~|     ~|14.63 |14.063|     ~|MV             |   9|   0
3012|2MASS J11450716+0137273            |RG*|11 45 07.1661535691 +01 37 27.235903541|     ~|13.07 |10.91 |10.65 |     ~|M              |   5|   0
3013|2MASS J11365274+0259486            |RG*|11 36 52.7510625805 +02 59 48.704118725|     ~|12.86 |11.04 |     ~|     ~|M              |   1|   0
3014|2MASS J15460438+0615543            |RG*|15 46 04.3810371256 +06 15 54.430652547|     ~|13.06 |11.25 |     ~|     ~|M              |   1|   0
3015|2MASS J15210207+0823199            |RG*|15 21 02.0786983423 +08 23 20.018945560|     ~|12.47 |11.17 |     ~|     ~|M              |   1|   0
3016|2MASS J15351781+1353308            |RG*|15 35 17.8116462720 +13 53 30.868081345|     ~|12.26 |10.64 |     ~|     ~|M              |   1|   0
3017|2MASS J08302442+2838120            |RG*|08 30 24.4210409252 +28 38 11.993811116|     ~|12.38 |10.39 |     ~|     ~|M              |   1|   0
3018|2MASS J10114976+2305036            |RG*|10 11 49.7668434672 +23 05 03.678372186|     ~|13.61 |11.56 |     ~|     ~|M              |   1|   0
3019|HD 20202                           |*  |03 16 18.2468124665 +42 47 08.130236539|     ~|11.52 | 9.77 |     ~|     ~|Ma             |   1|   0
3020|2MASS J08072064+4354179            |RG*|08 07 20.6405979625 +43 54 18.029511956|     ~|11.90 |10.46 |     ~|     ~|M              |   1|   0
3021|HD 222875                          |*  |23 44 17.4976824476 +54 28 53.261831367|     ~|10.44 | 9.01 |     ~|     ~|Ma             |   2|   0
3022|TYC 4063-1605-1                    |*  |03 47 11.0526858499 +60 28 06.577496956|     ~|12.22 |10.59 |     ~|     ~|M              |   1|   0
3023|HD 291147                          |*  |06 06 22.9820814465 -00 25 13.900773396|     ~|11.78 | 9.83 |     ~|     ~|M              |   1|   0
